Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Machine Learning Architect,Netmeds.com,Chennai,5-10 Yrs,EMR\nCI\nAzure\nDatapipeline\nMachineLearning\nSnowflake\nBlob\nSpark\nPowerBI,500,PG/Phd,Full Time,600000-1200000,600000,1200000,5
Data Scientist,Networth corp,Bengaluru,1-5 Yrs,DataScience\npredictiveAnalytics\nExcel\nAlgorithm,440,UG/PG,Full Time,500000-1500000,500000,1500000,1
Data Scientist,Newgen Software,Noida,2-4 years,python\nNLP\nMachineLearning\nStatistics,5000,UG -B.Tech/B.E. in Computers,Full Time,500000-900000,500000,900000,2
Machine Learning Engineer,NeXHS Renewables Pvt Ltd,Chennai,2-3 Yrs,MachineLearning\nPython\nDeepLearning\nTableau\nComputervision\nDataScience\nTensorflow,50,UG/PG,Full Time,800000-1300000,800000,1300000,2
Data Scientist,Nihilent,Gurgaon,5 - 8 years,DataScience\nAnalyticalMathematics\nBigData\nStatistics\nAnalytics\nPython,5000,Any Graduate,Full Time,800000-1200000,800000,1200000,5
Data Analyst,Novartis Healthcare,Hyderabad,1-3 Yrs,Python\nMachineLearning\nDataScience\nDataAnalysis\nTimeSeries\nDataMining\nDeepLearning\nNLP,125000,UG/PG,Full Time,500000-1000000,500000,1000000,1
Data Scientist,Novartis Healthcare,Hyderabad,7-12 Yrs,Python\nMachineLearning\nDataScience\nDataAnalysis\nTimeSeries\nTextMining\nDeepLearning\nNLP,125000,UG,Full Time,700000-1500000,700000,1500000,7
Data Scientist,NTT Data,Noida,0 years,ArtificialIntelligence\nPython\nSQL,139500,B.Tech,"Full Time, Permanent",1600000-1900000,1600000,1900000,#VALUE!
Systems Integration Specialist,NTT Data,Bengaluru,3-6 Yrs,Python\nMachineLearning\nDataAnalysis\nNoSQL\nRDBMS\nSQLDatabase\nScrum,139500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,3
Machine Learning Engineer,Omnex,Chennai,2-4 Yrs,asp.net\nJQuery\nPython\nMachineLearning\nAI\nComputerScience\nNLP\nITSkills,500,UG/PG,Full Time,1000000-1400000,1000000,1400000,2
Data Scientist,Onpassive,Hyderabad,2-7 years,MachineLearning\nDeepLearning,1065,Any Graduate,"Full Time, Permanent",450000-750000,450000,750000,2
Machine Learning Engineer,Ontrack,Chennai,4-5 Yrs,Yolo\nAzure\nPython\nAzurePipelines\nDeepLearning,200,UG/PG,Full Time,1500000-2500000,1500000,2500000,4
Machine Learning Engineer,Onward Technologies Ltd.,Bengaluru,4-8 Yrs,DataAnalytics\nDataframe\nMachineLeearning\SparkSQL\nPython\nPyspark,3000,UG/PG,Full Time,1500000-2000000,1500000,2000000,4
Data Scientist,OpsMx,Hyderabad,7 - 12 years,DataScience\nNLP\nMachineLearningAlgorithms,139,BCA/B.Tech,"Full Time, Permanent",700000-1700000,700000,1700000,7
Machine Learning Engineer,Optimal,Remote,2-4 Yrs,NLP\nComputerVision\nDeepLearning\nNumpy,NA,UG/PG,Full Time,600000-900000,600000,900000,2
Machine Learning Engineer,OptiSol,Chennai,1-5 Yrs,AWS\nOpenCV\nKeras\nRESTful API\nGit\nNoSQL,500,UG/PG,Full Time,500000-1000000,500000,1000000,1
Data Scientist,OPTUM,Bengaluru,2-5 years,Python\nBigdata\nMachineLearning,110000,Any Graduate,"Full Time, Permanent",450000-650000,450000,650000,2
Data Scientist,Optum,Hyderabad,15-20 Yrs,R\nSQL\nPython\nMachineLearning\nHadoop\nTableau\nDataScience\nStatistics,115000,UG/PG,Full Time,3000000-4000000,3000000,4000000,15
Data Scientist,Oracle,Hyderabad,3-6 years,Python\nAlgorithms\nDataStructures,138000,Any Graduate,"Full Time, Permanent",360000-500000,360000,500000,3
Machine Learning Engineer,Orange Business services,Gurgaon,3-7 yrs,R\nSQL\nPython\nMachineLearning\n\nDataScience\nMATLAB\nHIVE\nDeepLearning\nPowerBi,21000,UG/PG,Full Time,550000-1500000,550000,1500000,3
Data Scientist,Origo Commodities India Pvt Ltd,Gurgaon,4 - 8 years,Modeling\nBigData\nAnalytics\nAgriArtificialIntelligence\nHadoop\nDataMining\nMachineLearning\nSQL,5000,"BCA in Any Specialization, B.Tech/B.E. in Any Specializatio","Full Time, Permanent",1800000-2500000,1800000,2500000,4
Data Scientist,OyoRooms,Hyderabad,2 - 7 years,DataScience\nMachineLearning\nDeep Learning,5103,Any Graduate,"Full Time, Permanent",450000-950000,450000,950000,2
Data Scientist,PayPal,Chennai,6-10 Yrs,Unix\nComputerScience\nOperationsResearch\nPaymentProcessing\nDataScience,"26,500",PG/Phd,Full Time,900000-1450000,900000,1450000,6
Data Scientist,PayPal,Chennai,4-8 Yrs,DataScience\nStrategicPartnerships\nMachineLearning\Nscala\nWellness,"26,500",UG/PG,Full Time,1500000-2300000,1500000,2300000,4
Software Engineer,PayPal,Chennai,6-9 Yrs,ComputerScience\nDataModeling\nShellScripting\nMachineLearning\nCustomersupport,"26,500",PG/Phd,Full Time,550000-950000,550000,950000,6
Data Analyst,Paytm,"Noida, Bengaluru",2-7 Yrs,DataAnalysis\nPython\nMachineLearning\nSQL\nMIS\nEconometrics,5000,UG/PG,Full Time,380000-1500000,380000,1500000,2
Data Scientist,Paytm,"Noida, Delhi",1 - 6 years,MachineLearning\nSQL,11500,Any Graduate,"Full Time, Permanent",650000-850000,650000,850000,1
Data Analyst,PayU,Bengaluru,2-7 Yrs,SQL\nMachineLearning\nDataAnalysis\nMySQL\nDb2\nBigData,1500,UG/PG,Full Time,1800000-2500000,1800000,2500000,2
Machine Learning Engineer,PERSOLKELLY India,Chennai,3-8 Yrs,Python\nNLP\nDeepLearning\Naws,500,UG/PG,Full Time,600000-900000,600000,900000,3
Software Engineer,Philips,Bengaluru,9-13 Yrs,DeepLearning\nNLP\nPython\nMachineLearning\nSQL\nFrontEnd\nOnclology\nDataAnalysis,82000,UG/PG,Full Time,800000-1200000,800000,1200000,9
Machine Learning Engineer,Pinnacleworks Infotech Pvt Ltd,Gurgaon,3 - 8 years,Machinelearning\nalogorithm\nSpeechRecognition\nNueralNetworks\nArtificialIntelligence,50,Any Graduate,"Full Time, Permanent",1000000-2000000,1000000,2000000,3
Machine Learning Engineer,Poshmark,Chennai,3-8 Yrs,MachineLearning\nC++\nJavaScript\nSQL\nDataModeling\nDataAnalysis,500,UG/PG,Full Time,400000-700000,400000,700000,3
Data Scientist,Precisely,Noida,3 - 6 years,ProductManagement\nComputerScience\nDataManagement\nAnalyticalDataQuality\nTroubleShooting\nDataMining\nSQL\nPython,5000,Any Graduate,"Full Time, Permanent",500000-1700000,500000,1700000,3
Data Scientist,Prime Focus Technologies,Bengaluru,1 - 3 years,VideoProcessing\nImageProcessing\nAudioProcessing\nArtificialIntelligence\nMachineLearning,500,B.Tech,"Full Time, Permanent",1200000-1600000,1200000,1600000,1
Data Scientist,Prime focus technology,Remote,1-3 Yrs,ArtificalIntelligence\nMachineLearning\nvideoprocreesing\nVoiceProcessing,5000,UG/PG,Full Time,1000000-1500000,1000000,1500000,1
Data Scientist,Priority vendor,Remote,2-5 Yrs,XGBoost\nPyTorch\nSikitLearn\nSQL\nPandas,200,PG,Full Time,500000-1000000,500000,1000000,2
Data Scientist,Priority vendor,Remote,2-5 Yrs,Pandas\nDeepLearning\nNumpy\nHadoop,200,UG/PG,Full Time,NA,#VALUE!,#VALUE!,2
Data Scientist,Process point,Hyderabad,7-12 Yrs,DataScience\nAzure\nMachineLearning\nPython,500,UG/PG,Full Time,2000000-3000000,2000000,3000000,7
Data Scientist,Process Technologies,"Hyderabad,Secunderabad",7-12 Yrs,AzureMl\nDeepLearning\nComputerVision\n,300,UG/PG,Full Time,2000000-3000000,2000000,3000000,7
Machine Learning Engineer,PubMatic,Chennai,1-3 Yrs,ProductManagement\nComputerScience\nAutomation\nCoding\nConsulting,"1,000",UG/PG,Full Time,500000-800000,500000,800000,1
Machine Learning Engineer,PYC,"New Delhi,Bengaluru",1-6 Yrs,C\nDataScience\nMachineLearning\nDjango\nOOPS,NA,UG,Full Time,2000000-2500000,2000000,2500000,1
Machine Learning Engineer,Qualcomm,Bengaluru,1-6 Yrs,DataAnalysis\nComputerVision\nSensors\nPython\nSignalProcessing,5000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,1
Machine Learning Engineer,"Qualcomm Technologies,Inc",Chennai,3-8 Yrs,RTOS\nAutomation\nLinux\nConfigurationManagement\nSOC\nShellScripting\nDebugging,"45,000",UG/PG,Full Time,700000-1200000,700000,1200000,3
Machine Learning Engineer,"Qualcomm Technologies,Inc",Chennai,3-8 Yrs,ComputerScience\nComputervision\nSoftwareArchitecture\nCoding\nStaffing,"45,000",UG/PG,Full Time,450000-750000,450000,750000,3
Data Analyst,Quantiphy Analytics Solutions Pvt. Ltd.,"Bengaluru, Mumbai",4-7 Yrs,ArtificialIntelligence\nDataAnalysis\nCloud\nPresales\nMarketIntelligence,3310,UG/PG,Full Time,1000000-2000000,1000000,2000000,4
Machine Learning Engineer,Quinnox,Bengaluru,1-3 Yrs,Javascript\nDeepLearning\nNumpy\nPython\nMachineLearning,5000,UG,Full Time,NA,#VALUE!,#VALUE!,1
Data Scientist,RainGate,Noida,2-5 years,DeepLearning\nDataScience\nNLP\nMachineLearningAlgorithmsDataScience\nNLP\nMachineLearning,592,B.Tech,"Full Time, Permanent",1600000-2500000,1600000,2500000,2
Data Scientist,Rapid Talent Solutions,Bengaluru,4 - 9 years,DataScience\nNLP\nMachineLearningAlgorithms,,BCA,"Full Time, Permanent",500000-1300000,500000,1300000,4
Data Scientist,RENOUS EXTENSERVE PRIVATE LIMITED,Bengaluru,1 - 3 years,Python\nSQL\nMachineLearning,50,Any Graduate,"Full Time, Permanent",600000-800000,600000,800000,1
Data Scientist,Revalsys,"Bengaluru,Mumbai",3-8 Yrs,Hadoop\nPython\nBigData\nSQL\nstatistics,10000,UG/PG,Full Time,1000000-2000000,1000000,2000000,3
Data Scientist,Revalsys Technology,"Hyderabad,Secunderabad",1-2 Yrs,C++\nLinux\nComputerVision\nPython\nstatistics,50,UG,Full Time,NA,#VALUE!,#VALUE!,1
Data Scientist,Roposo,Bengaluru,3 - 6 years,ComputerScience\nDataAnalysis\nMetadataNo\nSQL\nLinux\nAnalyticalMachinelearning,141,Any Graduate,"Full Time, Permanent",1500000-2000000,1500000,2000000,3
Machine Learning Engineer,Saavn,Mumbai,2-5 Yrs,Python\nMachineLearning\nDataAnalysis\nDataStructures,569,UG/PG,Full Time,600000-1200000,600000,1200000,2
Machine Learning Engineer,SAP,Bengaluru,8-13 Yrs,NLP\nDeepLearning\nCatBoost\nSpaCy\nXGBoost,50000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,8
Artificial Intelligence Architect,SAP India Pvt.Ltd,Bengaluru,1 - 5 years,RAI\nPython\nTensorflow\nDataScience\nArtificialIntelligence\nNaturalLanguageProcessing,2096,Any Graduate,"Full Time, Permanent",700000-1700000,700000,1700000,1
Machine Learning Engineer,Sapwood ventures,Kochi,0-3 Yrs,Data Quality\nArtificial Intelligence\nMachine Learning\nPython,NA,UG/PG,Full Time,NA,#VALUE!,#VALUE!,0
Artificial Intelligence Architect,Schneider Electric,Bengaluru,5-10 yrs,DeepLearning\nDataAnalysis\nGIT\nMachineLearning\nMySQL\nPython,185000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,5
Machine Learning Engineer,Seasia infotech,Mohali SAS Nagar,0-5 Yrs,Math\NPython\nProbability\nSikitLearn\nPyTorch\nAlgorithms,50,UG/PG,Full Time,445000-700000,445000,700000,0
Data Scientist,Serving Skill,Bengaluru,2 - 6 years,DataScience\nPandas\nNumpy\nDeepLearning\nSQL\nPython,50,B.Tech/B.E,"Full Time, Permanent",600000-800000,600000,800000,2
Machine Learning Engineer,Seven Consultancy,Chennai,3-4 Yrs,MLModelling\nNLP\nNumpy\nPandas\nSciKit\nMLOps\nHadoop,200,UG/PG,Full Time,700000-1200000,700000,1200000,3
Machine Learning Engineer,Seven Consultancy,New Delhi,4 - 8 years,ComputerScience\nPrototype\nGCP\nArtificial Intelligence\nMachine learning\nData collection\nData structures\nSQL\nPython,200,Any Graduate,"Full Time, Permanent",500000-1000000,500000,1000000,4
Data Scientist,Sharechat,Bengaluru,1 - 3 years,JavaAlgorithms\nC / C + +\nData Scientist\nNaturalLanguageProcessing\nComputer Science,400,B.Tech,"Full Time, Permanent",1500000-2000000,1500000,2000000,1
Data Scientist,Shell,"Chennai,Bengaluru",5-10 Yrs,SupplyChain\nAdvancedAnalytics\nTeamManagement\nDataScience\nHPdataprotector,"80,000",PG/Phd,Full Time,850000-1700000,850000,1700000,5
Data Scientist,Siddh recruitech,Ahmedabad,4 - 8 years,DataScience\nR\nDataScience\nProblemSolving\nMachineLearning,10,B.Tech/B.E. in Computers,"Full Time, Permanent",NA,#VALUE!,#VALUE!,4
Data Scientist,simulationHub,Pune,1 - 3 years,DataModeling\nEnterpriseApplications\nAnalyticalConsultingMachineLearning,50,Any Graduate,"Full Time, Permanent",1200000-1600000,1200000,1600000,1
Data Scientist,Smiths,Bengaluru,1 - 5 years,ComputerScience\nC++\nAviation\nDataModeling\nAnalyticalArtificialIntelligence\nMachine learning,270,Any Graduate,"Full Time, Permanent",650000-950000,650000,950000,1
Data Scientist,SpotDraft,Gurgaon,1 - 5 years,ComputerLanguages\nDataAnalysisProcess\nOptimization\nLinux\nNeuralNetworks\nMachine learning,200,B.Tech,"Full Time, Permanent",1600000-1900000,1600000,1900000,1
Machine Learning Engineer,Spotflock Technologies Pvt. Ltd.,Delhi,5 - 10 years,ComputerScience\nProductEngineering\nLinux\nArtificialIntelligence\nMachineLearning\nAgileData Collection\nHTML\nDataQuality\nPython,25,Any Graduate,"Full Time, Permanent",NA,#VALUE!,#VALUE!,5
Machine Learning Engineer,Spotflock Technologies Pvt. Ltd.,"Delhi, Hyderabad",5 - 10 years,ComputerScience\nProductengineering\nLinux\nArtificialIntelligence\nMachinelearning\nPython,50,Any Graduate,"Full Time, Permanent",NA,#VALUE!,#VALUE!,5
Technical Project Lead,Steria India Ltd.,Noida,8-10 Yrs,ArtificialIntelligence\nMachineLearning\nNLP\nComputerVision,46000,UG/PG,Full Time,1600000-2500000,1600000,2500000,8
Machine Learning Engineer,Sutherland,India,5-10 yrs,TensorFlow\nPython\nAzurePipelines\nAzureMl\nDocker\nSpark,50000,UG/PG,Full Time,1000000-4000000,1000000,4000000,5
Data Analyst,Sutherland Global Services Inc.,Hyderabad,2-7 Yrs,MachineLearning\nSQL\nPython\nOpenSource\nDataAnalysis\nStatisticalProgramming,380000,UG,Full Time,400000-1000000,400000,1000000,2
Knime,Synergy Marine Group,Chennai,1-2 Yrs,TextProcessing\nDataanalysis\nQuerylanguages\nMachineLearning,"14,000",UG,Full Time,1800000-2200000,1800000,2200000,1
Data Scientist,Tactica,"Hyderabad,Bengaluru,Pune",5-10 Yrs,DataScience\nNaturalLanguageProcessing\nTextmining\nDeepLearning,1000,UG,Full Time,900000-1900000,900000,1900000,5
Data Analyst,Tactica Business Solutions,"Pune, Hyderabad, Bengaluru",5-10 Yrs,Python\nMachineLearning\nDataAnalysis\nDeepLearning\nDataMining\nUnstructuredData\nTextMining,50,UG/PG/PHD,Full Time,900000-1900000,900000,1900000,5
Data Scientist,Talent Acceleration Corridor,Hyderabad,2 - 4 years,DataScience\nNLP\nDataScientist\nDataVisualization\nMachineLearning\nPython,200,Any Graduate,"Full Time, Permanent",600000-800000,600000,800000,2
Machine Learning Engineer,Talent stock,"Noida,Bengaluru,Mumbai",3-8 Yrs,Python\nComputerVision\nMachineLearning,NA,UG/PG,Full Time,140000-2400000,140000,2400000,3
Machine Learning Engineer,Talent Stock,"Noida,Bengaluru,Mumbai",3-8 Yrs,Python\nComputerVision\nBash\nTenserFlow\nKeras,600,UG,Full Time,1400000-2400000,1400000,2400000,3
Data Engineer,TalentStack,Chennai,5-10 Yrs,Python\nMachineLearning\nMySql\nHadoop\nAWS\nAmazonEC2\nLinux\Nnlp,50,PG/Phd,Full Time,450000-750000,450000,750000,5
Data Scientist,TalentStack,Bengaluru,1 - 4 years,SQL\nMachineLearning\nAlgorithms\nPython\nPredictiveModeling\nJava\nDataMining\nRandomForest,200,B.Sc/B.Tech/BCA,"Full Time, Permanent",NA,#VALUE!,#VALUE!,1
Machine Learning Engineer,Tata Consultancy Services,"Chennai,Pune",3-15 Yrs,Python\nMachineLearning\nMATLAB\nNLP\nTableau,"4,00,000",PG/Phd,Full Time,700000-1200000,700000,1200000,3
Machine Learning Engineer,Tata technology,Thane,3-6 Yrs,DataScience\nArtificialIntelligence\nDataMining\nMachineLearning,10000,UG,Full Time,1200000-1600000,1200000,1600000,3
Data Analyst,TeamPlus Staffing Solutions Pvt. Ltd,Remote,4-8 Yrs,Python\nMachineLearning\nDataAnalysis\nXML\nPDF\nMATLAB,50,UG,Full Time,NA,#VALUE!,#VALUE!,4
Artificial Intelligence Architect,Tech Mahindra,"Pune,Bengaluru",7-12 Yrs,Python\nMachineLearning\nNLP\nNLU\nDeepLearning\nSentimentAnalysis\nTextMining\nArtificialIntelligence,40500,UG/PG/PHD,Full Time,700000-1700000,700000,1700000,7
Data Scientist,Tech Mahindra,Noida,3 - 6 years,SAS\nMachineLearning,145000,B.Sc/BCA,Full Time,1200000-1600000,1200000,1600000,3
"Teradata, Informatica Developer",Tech Mahindra,"Visakhapatnam,Hyderabad,Bengaluru",0-5 Yrs,SQL\nDataAnalysis\nDataMining\nDataWarehousing\nPLSQL\nFrontend\nInformaticaPowerCenter,40500,UG,Full Time,450000-950000,450000,950000,0
Machine Learning Engineer,Teksun Microsys,Ahmedabad,0-1 Yrs,DataScience\nNaturalLanguageProcessing\nDeepLearning\nComputerVision\nSpark,500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,0
Data Scientist,Thomson Reuters,Bengaluru,2-4 Yrs,CloudComputing\nAnalytics\nMachineLearning\nDataMining,50000,UG/PG,Full Time,1500000-3000000,1500000,3000000,2
Machine Learning Engineer,Tiger Analytics,"Hyderabad,Bengaluru,Chennai",1-6 Yrs,ArtificalIntelligence\nMachineLearning\nDjango\nMySQl\nPython\nCloud,15000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,1
Data Analyst,Tipping Mr Pink Pvt. Ltd.,Gurgaon,0-2 Yrs,Python\nMachineLearning\nDataAnalysis\nSQL\nExcel\nMSOffice\nDataScience,40,UG,Full Time,550000-700000,550000,700000,0
Data Scientist,TMD - The Modern Dimension,New Delhi,2 - 7 years,DataScience\nDataScientist\nMachineLearningAlgorithm,50,Any Graduate,"Full Time, Permanent",1400000-1800000,1400000,1800000,2
Data Scientist,Tokopedia,Noida,2 - 4 years,LogisticRegression\nNeuralNetworks\nUnsupervisedLearning\nMachineLearning\nDeepLearning\nSQL\nRandom Forest,10000,Any Graduate,"Full Time, Permanent",1500000-3000000,1500000,3000000,2
Data Scientist,Tookitaki Holding PTE LTD,Bengaluru,1 - 3 years,OperationalRisk\nDataScience\nMachineLearning\nBigData\nSQL\nPython,200,Any Graduate,"Full Time, Permanent",1300000-1550000,1300000,1550000,1
Machine Learning Engineer,Toyota Connected,Chennai,8-12 Yrs,AWS\nComputervision\nCNN\RNN\nOpenCV\nC++\nCaffe,500,PG/Phd,Full Time,NA,#VALUE!,#VALUE!,8
Data Scientist,Uber,Bengaluru,6 - 12 years,ComputerScience\nInterpersonalSkills\nProjectManagement\nTechnicalLead\nDataVisualization\nSQL\nPython,10001,Any Graduate,"Full Time, Permanent",100000-500000,100000,500000,6
Machine Learning Engineer,Ujjivan Small Finance Bank,Bengaluru,3-6 Yrs,Python\nMachineLearning\nDataAnalysis\nSQL\nStatisticalModeling,16000,UG,Full Time,800000-1200000,800000,1200000,3
Data Scientist,Urban Company,Gurgaon,5 - 9 years,DeepLearning\nArchitecture\nNeuralNetworks\nBusinessSolutionsMonitoring\nPythonTesting,5000,Any Graduate,"Full Time, Permanent",1700000-2100000,1700000,2100000,5
Machine Learning Engineer,Vbeyond Corporation,"Kochi, Mumbai, Hyderabad, Pune, Chennai",5-10 Yrs,MachineLearning\nAzureML\nDatabricks\nPython\nSQL\nADLS\nMLOps,300,UG,Full Time,500000-1500000,500000,1500000,5
Data Analyst,Verisk Analytics,Hyderabad,2-7 Yrs,Python\nMachineLearning\nDataAnalysis\nArtificial Intelligence,9300,UG/PG,Full Time,400000-1000000,400000,1000000,2
Machine Learning Engineer,Verizon,Chennai,3-7 Yrs,Unix\nGCP\nDiversityAndInclusion\nMachineLearning\nModelDevelopment\nOpenSource,"1,30,000",UG/PG,Full Time,900000-1450000,900000,1450000,3
Machine Learning Engineer,Vesat,Bengaluru,2-5 Yrs,Django\nDeepLearning\nPython\nMachineLearning,1000,UG/PG,Full Time,2000000-2500000,2000000,2500000,2
Data Scientist,Vichaara Technologies,"Pune,Bengaluru,Delhi",6-11 Yrs,PredictiveModeling\nLogisticRegression\nDeepLearning\n LinearRegression\nPython,500,UG/PG,Full Time,1800000-3000000,1800000,3000000,6
Data Scientist,Virtusa,"Hyderabad,Bengaluru,Mumbai,Gurgaon",5-9 Yrs,DataModeling\nDeepLearning\nNumpy\nHadoop\nPython,10000,UG,Full Time,450000-950000,450000,950000,5
Python Developer,Virtusa,Chennai,1-3 Yrs,MachineLearning\nPython,"30,000",UG/PG,Full Time,700000-12000000,700000,12000000,1
Machine Learning Engineer,Vision Beyond,"Kochi,Bengaluru,Hyderabad,Mumbai",5-10 Yrs,MachineLearning\nAzure\nMLOops\nPowerBi,1000,UG,Full Time,500000-1500000,500000,1500000,5
Data Scientist,Vorales,"Pune,Bengaluru",8-13 Yrs,DeepLearning\nSVM\nXGBoost\nBayes,NA,UG/PG,Full Time,2000000-3000000,2000000,3000000,8
Data Scientist,Vorales Consulting Services Pvt. Ltd.,Pune,8 - 13 years,NLPMl\nAlgorithms\nDeepLearning,NA,Any Graduate,"Full Time, Permanent",500000-1300000,500000,1300000,8
Customer Success Manager,Vunet Systems,"Mumbai,Chennai,Bengaluru",8-10 Yrs,ServiceLevel\nNetworking\nCustomersatisfaction\nFinancialinclusion\nMachineLearning,200,PG/Phd,Full Time,500000-950000,500000,950000,8
Solution Engineer,Vunet Systems,"Mumbai,Chennai,Bengaluru",4-5 Yrs,Ubuntu\nLinux\nNetworking\nJMX\nMachineLearning\nCustomerSupport\nMongoDB,200,UG/PG,Full Time,900000-1450000,900000,1450000,4
Data Analyst,Walmart,Bengaluru,7-12 yrs,MachineLearning\nProductManagement\nDataAnalysis\nMetadata\nArchitecture,230000,UG/PG,Full Time,3000000-6000000,3000000,6000000,7
Data Engineer,Walmart,Chennai,4-7 Yrs,ITSkills\nJava\nPython\nDataScience\nMachineLearning\nBigData\Naws,"23,00,000",UG/PG,Full Time,550000-950000,550000,950000,4
Data Scientist,Walmart,Remote,0-5 Yrs,Ml\nDeepLearning\nComputerVision\n Statistics,10000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,0
Software Engineer,Walmart,Chennai,3-6 Yrs,ComputerScience\nMaven\nMachineLearning\nDataStructures\nHTML\nUnitTesting,"23,00,000",UG/PG,Full Time,600000-900000,600000,900000,3
Technical Lead:ML,Walmart,Bengaluru,3-6 Yrs,MachineLearning\nSQL\nPython\nForecasting,2300000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,3
Data Scientist,Whatfix,Gurgaon,1 - 3 years,ComputerScienceApplication\nSupportAnalytical\nMachinelearning\nPython,774,Any Graduate,"Full Time, Permanent",380000-1500000,380000,1500000,1
Automation Tester,Williams Lea,"Kochi,Chennai",2-6 Yrs,ComputerScience\nC++\nAutomation\nChangeManagement,"12,000",UG/PG,Full Time,1200000-1600000,1200000,1600000,2
Artificial Intelligence Architect,Wipro,"Mumbai,Chennai,Kolkata,Delhi,Bengaluru,Mumbai,Pune,Hyderabad",14-20 Yrs,RegressionAnalysis\nPatternRecognition\nNLP\nFactorAnalysis\nArima,"2,30,000",PG/Phd,Full Time,400000-700000,400000,700000,14
AWS-MLOps,Wipro,"Kochi,Chennai,Kolkata,Gurugram,Coimbatore,Bengaluru,Mumbai,Pune,Hyderabad",6-11 Yrs,DevOps\nMachineLearning\nAWS\Noop\nNumpy\nNLPalgorithms\nDocker\nTensorflow,"2,30,000",PG/Phd,Full Time,1800000-2250000,1800000,2250000,6
Data Scientist,Wipro,"Hyderabad,Chennai,Pune,Bengaluru",3-8 Yrs,ITSkills\nPython\nDataScience\nMachineLearning\nArtificalIntelligence\nCloud,"2,30,000",UG/PG,Full Time,500000-700000,500000,700000,3
Machine Learning Architect,Wipro,"Kochi,Chennai,Kolkata,Gurugram,Coimbatore,Bengaluru,Mumbai,Pune,Hyderabad",5-10Yrs,Computervision\nMachineLearning\nPython\nITSkills\nCloud\nPytorch\nTensorflow,"2,30,000",PG/Phd,Full Time,700000-1200000,700000,1200000,5
Machine Learning Engineer,Wipro,Noida,3-6 Yrs,MachineLearning\nPython\nPythonDeveloper\nPytorch\nSoftwareArchitectureDesign\nR\nJava\nDataStructures,220000,UG,Full Time,500000-950000,500000,950000,3
Machine Learning Engineer,Wipro,"Hyderabad,Chennai,Pune,Bengaluru",3-8 Yrs,ImageGeneration\nCaffe\nTensorflow\nApacheTVM\nONNX\nInstanceSegmentation,"2,30,000",UG/PG,Full Time,600000-800000,600000,800000,3
Machine Learning Engineer,Xerox,"Kochi,Bengaluru",7-12 Yrs,IntelligentDocumentProcessing\nAI\nML\nClassification,1000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,7
Data Scientist,YALLAS TECHNOLOGY SOLUTIONS (OPC) Pvt Ltd,Bengaluru,3 - 5 years,Tensorflow\nSVM\nAnalytics\nPython,10,B.Tech,"Full Time, Permanent",500000-1600000,500000,1600000,3
Machine Learning Engineer,Zoho,Chennai,0-3 Yrs,MachineLearning\nC++\nDataStructures\nSoftwareArchitecture\nCI/CD Pipelines,"12,000",UG,Full Time,850000-1300000,850000,1300000,0
Junior Data Scientist,Ignitho,Chennai,0 - 2 Yrs,R\nSQL\Python,200,UG,Full Time,NA,#VALUE!,#VALUE!,0
Data Scientist,Gravity Intelligent Solutions,Bengaluru,0-4 Yrs,Django\nReact\nJsMachineLearning\nPython,NA,UG,Full Time,300000-500000,300000,500000,0
Data Scientist,Peoplefy Infosolutions Pvt. Ltd,Pune,0-4 Yrs,MachineLearning\nDeepLearning\nPython,200,PG/PhD,Full Time,500000-700000,500000,700000,0
Data Scientist,Louis Dreyfus Commodities,Bengaluru,0-3 Yrs,Python\nSQL,17000,MS Stats,Full TIme,NA,#VALUE!,#VALUE!,0
Junior Machine Leaening Engineer,Digit Insurance,Bengaluru,0-2 Yrs,MachineLearning\nPython,2540,UG,Full Time,300000-500000,300000,500000,0
Machine Leaening Engineer,Teksun Microsys Pvt Ltd,Ahmedabad,0-3 Yrs,Python\nSQL\nDeepLearning,500,UG,Full Time,400000-600000,400000,600000,0
Data Analyst,Nike India,Bengaluru,0-5 Yrs,MachineLearning\nDataAnalytics\nOperations\nSQL,75400,UG,Full Time,400000-600000,400000,600000,0
Data Scientist,Simulation Hub,Pune,1-3 Yrs,DataVisualization\nInformationTechnology\nAnalytics\nCRM,200,UG,Full Time,800000-1000000,800000,1000000,1
Data Scientist,NEEMTREE INTERNET PVT LTD,Gurgaon,4-8 Yrs,BusinessIntelligence\nAnalytics\nPython,50,UG,Full Time,NA,#VALUE!,#VALUE!,4
Data Scientist,GSTN,Delhi,3-5 Yrs,MachineLearning\nDeepLearning\nPython,200,B.Tech,Full Time,"4,00,000 - 7,50,000","4,00,000 "," 7,50,000",3
