Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Data Scientist,AgNext Technologies ( India's leading Agri Tech driven Company),"Mohali, Gurgaon",2-7 Yrs,Computer vision\ndeep learning\nLiterature\nImage processing\nArtificial Intelligence\nMachine learning\nDeployment\nFood processing,200,UG/PG,Full Time,700000-1000000,700000,1000000,2
ML/AI Intern,AgNext Technologies ( India's leading Agri Tech driven Company),"Mohali, Gurgaon",1-3 Yrs,Computer vision\ndeep learning\nC++\nImage processing\nIntern\nCoding\nMachine learning\nData processing,200,UG/PG,Full Time,600000-900000,600000,900000,1
Data Scientist,AGUILASS,"Hyderabad, Gurgaon",3-6 Yrs,spark\nSCALA\nMachine learning\nHadoop\nData Analyst\nBusiness intelligence\nbig data\nPredictive analytics,250,PG,Full Time,NA,#VALUE!,#VALUE!,3
Data Scientist,AI Enterprise,Bengaluru,5-10 Yrs,Unix\nComputer science\nLinux\nMIS\nSocial media\nShell scripting\nData mining\nMATLAB,500,PG/Phd,Full Time,500000-1200000,500000,1200000,5
Data Scientist,AICHUNKS Private Limited,Chandigarh,3-8 Yrs,Computer science\nIntern\nMachine learning,50,PG/Phd,Full Time,600000-900000,600000,900000,3
Data Scientist,AICHUNKS Private Limited,Chandigarh,1-6 Yrs,Machine learning,50,UG/PG,Full Time,800000-1000000,800000,1000000,1
Data Scientist,AICHUNKS Private Limited,Chandigarh,3-8 Yrs,Machine learning,50,PG/Phd,Full Time,700000-1300000,700000,1300000,3
Data Scientist,Aidetic Software Pvt Ltd,Bengaluru,1 - 5 years,PytorchmachineLearning\nPython\nDataScience\nTensorflow\nDeepLearning\nOpencvArtificial Intelligence,50,B.Tech,"Full Time, Permanent",550000-800000,550000,800000,1
Data Scientist,Aidetic Software Pvt.Ltd,Bengaluru,1-5 Yrs,Python\nMachineLearning\nScipy\nOpenCv\nNLTK\nNLP\nDeepLearning,50,UG,Full Time,800000-1500000,800000,1500000,1
Data Scientist,AideticSoftware,Bengaluru,1-5 Yrs,TenserFlow\nDeepLearning\nNumpy\npandas\n MachineLearning,500,UG,Full Time,800000-1500000,800000,1500000,1
